ATOS
AVODAQ AG
AXIANS
BECHTLE
CANCOM
COMPUTACENTER PLC
CONTROLWARE GMBH, KOMMUNIKATIONSSYSTEME
DEUTSCHE TELEKOM
DIMENSION DATA HOLDINGS PLC
NETFOX AG
SanData EDV Systemhaus GmbH
SVA GmbH
SWS COMPUTERSYSTEME AG
SYSTEMA GESELLSCHAFT FUER ANGE- WANDTE DATENTECHNIK MBH
UNISYS CORPORATION
XEVIT GMBH
